	participant_id	session_id	dice_bet_probability	darq_probability	darq_pass	dice_hd_bet_probability	mutual_info	correlation_ratio	norm_mi	correlation_coef	cr_l1
55	sub-OASIS10348	ses-M00	0.9329033478750808	0.6161639094352722	True	0.9428818715354564	0.808968829624358	0.7946952888403437	0.1951707231911073	0.6792522366256888	0.6700913131162439
56	sub-OASIS10357	ses-M00	0.9253438341880746	0.9999727010726928	True	0.9281574812980554	0.8485193171921869	0.8107555906940886	0.20440080092313684	0.6831254880609463	0.6813550421595996
57	sub-OASIS10363	ses-M00	0.9003224311069249	0.0286097154021263	False	0.8993086921963136	0.7484010591679735	0.7165215005417821	0.18195071297418153	0.5300256507174924	0.5991206731657415
58	sub-OASIS10371	ses-M00	0.891072943000218	0.7593706250190735	True	0.896717601382616	0.8479903222043693	0.7352443904921677	0.1964928687938421	0.4808776961577462	0.6162126386757465
59	sub-OASIS10372	ses-M00	0.9152001036173342	0.9995238780975342	True	0.9147959782789964	0.7299951733201352	0.7040407595196101	0.17800183578282547	0.49703629916329256	0.5959675877213209
60	sub-OASIS10373	ses-M00	0.8926135662513512	0.005306851118803	False	0.8840151226768991	0.8034567771166968	0.6918635355851364	0.18641252148902998	0.49439478710191453	0.5761954219022218
61	sub-OASIS10377	ses-M00	0.8771020937045289	0.0028057340532541	False	0.874169960479085	0.7413698322200055	0.6923001318853264	0.177491159363121	0.5444884733725563	0.5740372401737264
62	sub-OASIS10380	ses-M00	0.8850014447291935	0.0026675721164792	False	0.9077581066606296	0.8265997815677334	0.7394541867802606	0.19323090727424685	0.5319291211803071	0.617141383786839
63	sub-OASIS10388	ses-M00	0.9100429590717862	0.999637007713318	True	0.924561248663536	0.8104749140045052	0.7380589720920063	0.19009806829701836	0.5661208664472193	0.6198123918044589
64	sub-OASIS10396	ses-M00	0.940536996704041	0.999971866607666	True	0.9539826888055392	0.826753567312911	0.7940662238077861	0.19928880916478775	0.6953179272508119	0.670119407866242
65	sub-OASIS10398	ses-M00	0.8238708580744609	0.0084831891581416	False	0.822302217208673	0.7316408676444055	0.6845461598448966	0.1774429883659736	0.4532137630447483	0.5675449577497631
66	sub-OASIS10400	ses-M00	0.8733360939313277	0.0001314497640123	False	0.8832973281702559	0.7418080857589678	0.6908219799738416	0.1769349407939751	0.4352336442060869	0.5730242755470882
